SoundEventId,Destination,Source,Volume,PitchRandomRange
action_denied,06_Audio/SFX/UI/action_denied.wav,CelerisLab/CompleteUISFX/negative_feedback_and_warnings/access_denied_01.wav,0.85,0.02
shop_open,06_Audio/SFX/Shop/shop_open.wav,CelerisLab/CompleteUISFX/shop_and_economy/shop_category_select_01.wav,0.85,0.02
shop_buy_success,06_Audio/SFX/Shop/shop_buy_success.wav,CelerisLab/CompleteUISFX/shop_and_economy/purchase_success_01.wav,0.9,0.02
shop_buy_fail,06_Audio/SFX/Shop/shop_buy_fail.wav,CelerisLab/CompleteUISFX/shop_and_economy/insufficient_currency_02.wav,0.9,0.02
shop_item_sold,06_Audio/SFX/Shop/shop_item_sold.wav,CelerisLab/CompleteUISFX/shop_and_economy/item_sold_01.wav,0.8,0.02
shop_transaction_complete,06_Audio/SFX/Shop/shop_transaction_complete.wav,CelerisLab/CompleteUISFX/shop_and_economy/transaction_complete.wav,0.85,0.02
shop_warning,06_Audio/SFX/Shop/shop_warning.wav,CelerisLab/CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_02.wav,0.9,0.02
shop_hostile,06_Audio/SFX/Shop/shop_hostile.wav,CelerisLab/CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_03.wav,0.95,0.01
reinforcement_equip,06_Audio/SFX/UI/reinforcement_equip.wav,CelerisLab/CompleteUISFX/inventory_and_item_management/item_equip_01.wav,0.85,0.03
reinforcement_drop,06_Audio/SFX/UI/reinforcement_drop.wav,CelerisLab/CompleteUISFX/inventory_and_item_management/item_drop_01.wav,0.8,0.03
reinforcement_pickup,06_Audio/SFX/UI/reinforcement_pickup.wav,CelerisLab/CompleteUISFX/inventory_and_item_management/item_pick_up_02.wav,0.85,0.03
reinforcement_use,06_Audio/SFX/UI/reinforcement_use.wav,CelerisLab/CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_02.wav,0.85,0.03
radar_open,06_Audio/SFX/Radar/radar_open.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/game_state_change_02.wav,0.85,0.02
radar_close,06_Audio/SFX/Radar/radar_close.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/game_state_change_03.wav,0.8,0.02
radar_scan_pulse,06_Audio/SFX/Radar/radar_scan_pulse.wav,CelerisLab/CompleteUISFX/social_and_communication/notification_01.wav,0.85,0.03
radar_fail,06_Audio/SFX/Radar/radar_fail.wav,CelerisLab/CompleteUISFX/negative_feedback_and_warnings/action_failed_01.wav,0.85,0.02
pickup_credit,06_Audio/SFX/Pickups/pickup_credit.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/currency_gained.wav,0.75,0.05
pickup_scrap,06_Audio/SFX/Pickups/pickup_scrap.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/item_acquired_02.wav,0.75,0.05
pickup_core,06_Audio/SFX/Pickups/pickup_core.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/achievement_unlocked_01.wav,0.9,0.02
pickup_heal,06_Audio/SFX/Pickups/pickup_heal.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/item_acquired_03.wav,0.8,0.04
pickup_experience,06_Audio/SFX/Pickups/pickup_experience.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/item_acquired_04.wav,0.7,0.05
return_choice_open,06_Audio/SFX/Return/return_choice_open.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/objective_reached_01.wav,0.85,0.02
safe_return,06_Audio/SFX/Return/safe_return.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/mission_success_01.wav,0.9,0.02
result_count_tick,06_Audio/SFX/Return/result_count_tick.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/checkbox_tick_02.wav,0.55,0.04
result_reward_total,06_Audio/SFX/Return/result_reward_total.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/quest_completed_01.wav,0.9,0.02
event_start,06_Audio/SFX/Events/event_start.wav,CelerisLab/CompleteUISFX/social_and_communication/notification_02.wav,0.85,0.02
event_complete,06_Audio/SFX/Events/event_complete.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/mission_success_02.wav,0.9,0.02
