trait_id,display_name,asset_path,family,rarity,max_level,lv1,lv2,lv3_max,effect_kind,primary_role,purpose,overlapping_equipment,acquisition_eligibility,description,composition_notes,development_branch,development_roster,research_row,blueprint_position,manufacturing_scrap,manufacturing_core,recipe_basis,deployment
shared_radar_amplifier,레이더 증폭기,Assets/02_Scripts/Config/TraitDefinition/Common/16_shared_radar_amplifier.asset,Shared,Common,3,RadarScanRadiusBonus 2,RadarScanRadiusBonus 2,RadarScanRadiusBonus 2,Numeric,Tactical,Scan reach specialist,sn_focus_lens,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,레이더 탐색 반경을 넓혀 주변 항로를 먼저 파악한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,2,1,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
shared_active_cooler,액티브 냉각기,Assets/02_Scripts/Config/TraitDefinition/Common/17_shared_active_cooler.asset,Shared,Rare,3,ActiveCooldownReductionPercent 8,ActiveCooldownReductionPercent 8,ActiveCooldownReductionPercent 8,Numeric,Tactical,Reinforcement recharge cadence,shared_dash_capacitor,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,리인포스먼트 재충전 시간을 줄여 전술 장비를 자주 사용한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,3,2,50,4,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
shared_bulkhead_cargo_frame,격벽 적재 프레임,Assets/02_Scripts/Config/TraitDefinition/Common/18_shared_bulkhead_cargo_frame.asset,Shared,Rare,3,MaxHpBonus 1; CargoCapacityBonus 8,MaxHpBonus 1; CargoCapacityBonus 8,MaxHpBonus 1; CargoCapacityBonus 8,Numeric,Salvage,Cargo with health reserve,shared_cargo_bay;shared_survival_protocol,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,적재량과 최대 체력을 함께 보강하는 운송용 프레임.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_collection_route,회수 항로 계산기,Assets/02_Scripts/Config/TraitDefinition/Common/19_shared_collection_route.asset,Shared,Common,3,MoveSpeedPercent 3; PickupRangeBonus 0.8,MoveSpeedPercent 3; PickupRangeBonus 0.8,MoveSpeedPercent 3; PickupRangeBonus 0.8,Numeric,Salvage,Fast mobile collection,shared_engine_tuning;shared_salvage_magnet,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,이동 속도와 흡수 범위를 늘려 멈추지 않고 자원을 모은다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_cutting_ammo,절단 탄약,Assets/02_Scripts/Config/TraitDefinition/Common/20_shared_cutting_ammo.asset,Shared,Rare,3,HarvestObjectDamagePercent 10; DamagePercent 3,HarvestObjectDamagePercent 10; DamagePercent 3,HarvestObjectDamagePercent 10; DamagePercent 3,Numeric,Salvage,General harvest damage with modest combat gain,sg_close_harvest_burst;shared_targeting_bus,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,잔해 절단을 빠르게 하고 일반 전투 화력도 조금 보강한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,2,3,40,3,promoted legacy; provisional tier formula for new manufacture,"Lv1 when researched, manufactured, fitted and compatible"
shared_longshot_stabilizer,장거리 안정기,Assets/02_Scripts/Config/TraitDefinition/Common/21_shared_longshot_stabilizer.asset,Shared,Rare,3,RangePercent 6; ProjectileSpeedPercent 6,RangePercent 6; ProjectileSpeedPercent 6,RangePercent 6; ProjectileSpeedPercent 6,Numeric,Control,Balanced projectile reach and speed,shared_range_focusing;shared_accelerator_coil,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,사거리와 탄속을 함께 높여 원거리 사격을 안정시킨다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_survival_protocol,생존 프로토콜,Assets/02_Scripts/Config/TraitDefinition/Common/22_shared_survival_protocol.asset,Shared,Rare,3,MaxHpBonus 2; HealEfficiencyPercent 8,MaxHpBonus 2; HealEfficiencyPercent 8,MaxHpBonus 2; HealEfficiencyPercent 8,Numeric,Survival,Health plus healing synergy,shared_reinforced_plating;shared_repair_foam,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,최대 체력과 회복 효율을 함께 높여 반복 교전에 대비한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_lightweight_cargo,경량 적재함,Assets/02_Scripts/Config/TraitDefinition/Common/23_shared_lightweight_cargo.asset,Shared,Rare,3,CargoCapacityBonus 8; MoveSpeedPercent 3,CargoCapacityBonus 8; MoveSpeedPercent 3,CargoCapacityBonus 8; MoveSpeedPercent 3,Numeric,Salvage,Cargo with cruising speed,shared_cargo_bay;shared_collection_route,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,적재량과 이동 속도를 함께 높여 회수 항로를 빠르게 순회한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_return_protocol,복귀 프로토콜,Assets/02_Scripts/Config/TraitDefinition/Common/24_shared_return_protocol.asset,Shared,Rare,3,EmergencyReturnCapacityRatioBonus 4; DashCooldownReduction 0.04,EmergencyReturnCapacityRatioBonus 4; DashCooldownReduction 0.04,EmergencyReturnCapacityRatioBonus 4; DashCooldownReduction 0.04,Numeric,Salvage,Escape cadence plus preserved cargo,shared_return_container;shared_dash_capacitor,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬 회전율과 긴급복귀 보존량을 함께 보강한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_standard_upgrade,표준 개수 키트,Assets/02_Scripts/Config/TraitDefinition/Common/25_shared_standard_upgrade.asset,Shared,Common,3,DamagePercent 4; MaxHpBonus 1,DamagePercent 4; MaxHpBonus 1,DamagePercent 4; MaxHpBonus 1,Numeric,Offense,Modest all-round damage and health,shared_targeting_bus;shared_reinforced_plating,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,공격력과 최대 체력을 조금씩 보강하는 균형형 모듈.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
mg_sustained_harvest_fire,지속 수확 사격,Assets/02_Scripts/Config/TraitDefinition/MachineGun/26_mg_sustained_harvest_fire.asset,Sweeper / MachineGun,Rare,3,FireRatePercent 8; HarvestObjectDamagePercent 8,FireRatePercent 8; HarvestObjectDamagePercent 8,FireRatePercent 8; HarvestObjectDamagePercent 8,Numeric,Salvage,Sustained mining fire,mg_stable_feed;shared_cutting_ammo,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,기관총 연사와 잔해 피해를 함께 높여 수확 사격을 이어간다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,1,1,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_guidance_control,유도 제어,Assets/02_Scripts/Config/TraitDefinition/MachineGun/27_mg_guidance_control.asset,Sweeper / MachineGun,Rare,3,HomingAngleBonus 6; HomingRangeBonus 1,HomingAngleBonus 8; HomingRangeBonus 1.5,HomingAngleBonus 10; HomingRangeBonus 2,Projectile specialization + numeric,Control,Homing acquisition and steering,mg_terminal_guidance,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,유도 각도와 탐색 거리를 넓혀 움직이는 목표를 추적한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,0,2,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_stable_feed,안정 급탄,Assets/02_Scripts/Config/TraitDefinition/MachineGun/28_mg_stable_feed.asset,Sweeper / MachineGun,Common,3,SpreadReductionPercent 6; FireRatePercent 4,SpreadReductionPercent 8; FireRatePercent 5,SpreadReductionPercent 10; FireRatePercent 6,Numeric,Offense,Accurate sustained fire,shared_combat_gyro;shared_rapid_feed,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,탄 퍼짐을 줄이고 연사를 보조하는 안정형 급탄 장치.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,0,3,10,0,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_salvage_sweep,수확 탄막,Assets/02_Scripts/Config/TraitDefinition/MachineGun/29_mg_salvage_sweep.asset,Sweeper / MachineGun,Rare,3,ProjectileSpeedPercent 8; PickupRangeBonus 0.6,ProjectileSpeedPercent 8; PickupRangeBonus 0.6,ProjectileSpeedPercent 8; PickupRangeBonus 0.6,Numeric,Salvage,Projectile delivery and pickup reach,shared_accelerator_coil;shared_salvage_magnet,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,빠른 탄으로 잔해를 쓸고 흩어진 자원을 넓게 회수한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,1,2,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_midrange_pressure,중거리 압박,Assets/02_Scripts/Config/TraitDefinition/MachineGun/30_mg_midrange_pressure.asset,Sweeper / MachineGun,Rare,3,RangePercent 6; DamagePercent 5,RangePercent 6; DamagePercent 5,RangePercent 6; DamagePercent 5,Numeric,Offense,Damage at a safer standoff,shared_targeting_bus;shared_range_focusing,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,사거리와 공격력을 함께 높여 중거리에서 압박한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,1,3,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_choke_barrel,산탄 압축,Assets/02_Scripts/Config/TraitDefinition/Shotgun/31_sg_choke_barrel.asset,Breacher / Shotgun,Rare,3,SpreadReductionPercent 10,SpreadReductionPercent 12,SpreadReductionPercent 16,Numeric,Control,Tighter shotgun pellet pattern,shared_combat_gyro,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄을 좁게 모아 작은 목표에 사격을 집중한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,0,1,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_extra_pellet,추가 펠릿,Assets/02_Scripts/Config/TraitDefinition/Shotgun/32_sg_extra_pellet.asset,Breacher / Shotgun,Special,3,ProjectileCountBonus 1,SpreadReductionPercent 4,SpreadReductionPercent 6,Projectile specialization + numeric,Offense,Additional pellet with later pattern control,sg_choke_barrel,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄을 추가한다. 이후 강화는 늘어난 산탄의 퍼짐을 정돈한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,0,2,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_breaching_drive,돌입 구동계,Assets/02_Scripts/Config/TraitDefinition/Shotgun/33_sg_breaching_drive.asset,Breacher / Shotgun,Rare,3,DashDistanceBonus 0.6; MaxHpBonus 1,DashDistanceBonus 0.6; MaxHpBonus 1,DashDistanceBonus 0.6; MaxHpBonus 1,Numeric,Survival,Durable gap closing,shared_vector_thruster;shared_reinforced_plating,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬 거리와 최대 체력을 늘려 근접 진입을 돕는다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,0,3,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_close_harvest_burst,근접 수확 파쇄,Assets/02_Scripts/Config/TraitDefinition/Shotgun/34_sg_close_harvest_burst.asset,Breacher / Shotgun,Rare,3,HarvestObjectDamagePercent 12; DamagePercent 4,HarvestObjectDamagePercent 12; DamagePercent 4,HarvestObjectDamagePercent 12; DamagePercent 4,Numeric,Salvage,Shotgun demolition,shared_cutting_ammo;sg_close_quarters_overpressure,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄의 잔해 파괴력을 높이고 전투 화력을 보조한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,1,1,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_taunt_resonator,도발 공진기,Assets/02_Scripts/Config/TraitDefinition/Shotgun/35_sg_taunt_resonator.asset,Breacher / Shotgun,Special,3,RadarTauntDurationBonus 1; MoveSpeedPercent 3,RadarTauntDurationBonus 1; MoveSpeedPercent 3,RadarTauntDurationBonus 1; MoveSpeedPercent 3,Mechanical + numeric,Tactical,Radar lure with repositioning,shared_radar_amplifier,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,레이더 도발을 오래 유지하고 이동을 보조해 적의 동선을 유도한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,1,2,40,3,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sg_close_quarters_overpressure,근접 과압,Assets/02_Scripts/Config/TraitDefinition/Shotgun/46_sg_close_quarters_overpressure.asset,Breacher / Shotgun,Special,3,ShotgunCloseRangeDamagePercent 18,ShotgunCloseRangeDamagePercent 18,ShotgunCloseRangeDamagePercent 24,Mechanical + numeric,Signature,Distance-sensitive enemy burst,sg_close_harvest_burst,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,적에게 가까이서 맞힐수록 산탄 피해가 증가한다. 잔해에는 적용되지 않는다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,3,1,50,4,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_charge_accelerator,차징 가속,Assets/02_Scripts/Config/TraitDefinition/Sniper/36_sn_charge_accelerator.asset,Lancer / Sniper,Rare,3,ChargeTimeReductionPercent 8,ChargeTimeReductionPercent 10,ChargeTimeReductionPercent 14,Numeric,Offense,Faster charge cadence,sn_semi_auto_laser,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,차징 속도를 높여 정밀 사격 사이의 빈틈을 줄인다.,Legacy enum name means charge speed: time divides by (1 + value/100). UI shows the actual per-step time reduction.,Lancer,yes,0,1,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_piercing_amplifier,관통 증폭,Assets/02_Scripts/Config/TraitDefinition/Sniper/37_sn_piercing_amplifier.asset,Lancer / Sniper,Rare,2,PierceCountBonus 1,PierceCountBonus 1; RemovePierceDamageFalloff 1,—,Mechanical + numeric,Control,Multi-target pierce and retained damage,sn_high_output_core,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,관통을 늘린다. 최대 단계에서는 관통 후 피해 감쇠를 제거한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,0,2,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_focus_lens,집중 렌즈,Assets/02_Scripts/Config/TraitDefinition/Sniper/38_sn_focus_lens.asset,Lancer / Sniper,Rare,3,RadarScanRadiusBonus 2; ChargeDamagePercent 8,RadarScanRadiusBonus 2; ChargeDamagePercent 8,RadarScanRadiusBonus 2; ChargeDamagePercent 8,Numeric,Tactical,Scan-assisted charged engagement,shared_radar_amplifier;sn_high_output_core,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,넓은 레이더 탐색과 차징 피해로 교전을 준비한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,1,1,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_high_output_core,고출력 탄심,Assets/02_Scripts/Config/TraitDefinition/Sniper/39_sn_high_output_core.asset,Lancer / Sniper,Rare,3,ChargeDamagePercent 12,ChargeDamagePercent 15,ChargeDamagePercent 18,Numeric,Offense,Maximum charged-hit output,sn_focus_lens,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,차징 피해에 집중한다. 끝까지 강화하면 한 발의 위력이 완성된다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,1,2,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
